customer_id,tenure_months,monthly_spend,usage_hours,inactive_days,support_tickets,payment_failures,plan_changes,feedback_score,usage_trend,spend_trend,churned,avg_interaction_score,total_interactions,favorite_category
27,62,58.61,122.6,62,4,1,3,1.09,0.7,0.58,1,2.5,10,Insurance
28,51,60.27,89.8,11,2,2,5,4.64,0.13,0.49,0,2.923076923076923,13,Insurance
29,55,69.69,151.8,61,5,0,2,1.86,1.1,0.9,1,3.0,6,Data Pack
30,64,59.25,173.6,41,2,1,2,3.52,2.59,-1.12,0,2.8,10,OTT Bundle
31,3,96.32,141.7,68,3,2,1,1.25,-1.17,0.03,1,4.0,2,Roaming
32,51,63.89,167.8,57,2,0,5,1.33,-0.8,-1.12,1,3.625,8,Voice Plan
33,7,78.97,121.5,4,3,2,3,1.04,2.69,-1.1,0,2.625,8,Voice Plan
34,21,46.98,156.3,26,1,0,4,3.26,0.43,0.37,0,3.0,5,Data Pack
35,39,62.17,123.4,27,1,0,0,3.52,0.19,0.95,0,2.6666666666666665,9,Roaming
36,18,87.86,73.9,25,2,1,4,1.2,-0.12,-0.19,0,3.111111111111111,9,Data Pack
37,4,55.72,131.1,48,1,0,3,2.16,1.21,1.65,0,3.6,10,Data Pack
38,60,63.46,75.2,20,2,0,1,4.41,2.61,0.21,0,3.1818181818181817,11,Insurance
39,14,77.66,225.3,0,3,0,0,1.41,-0.67,-0.78,0,2.5,4,OTT Bundle
40,9,46.64,105.0,57,2,1,4,1.87,-0.1,-1.09,1,3.75,4,Voice Plan
41,53,21.09,149.0,54,2,0,5,2.7,-0.35,1.02,1,2.6,5,OTT Bundle
42,2,64.6,119.4,25,1,2,5,4.37,0.73,0.13,0,2.25,4,Insurance
43,60,77.8,64.5,24,2,1,0,2.02,1.22,0.68,0,2.4285714285714284,7,Data Pack
44,71,35.67,34.6,32,1,0,0,4.99,1.62,-2.66,0,2.5714285714285716,7,Data Pack
45,44,72.06,153.7,68,2,2,0,2.42,0.77,0.24,1,3.0,5,OTT Bundle
46,8,72.19,189.7,5,2,0,2,2.55,2.52,-0.51,0,3.090909090909091,11,Data Pack
47,47,20.0,86.9,22,1,4,3,1.49,-0.57,-1.39,0,3.2666666666666666,15,OTT Bundle
48,35,43.15,45.4,29,3,0,5,3.72,-0.83,-0.06,0,2.8,10,Roaming
49,36,52.88,105.4,53,0,1,5,1.97,1.47,1.09,1,2.888888888888889,9,Data Pack
50,50,56.77,77.8,10,2,1,3,3.52,0.12,2.27,0,2.875,8,Data Pack
51,4,46.62,90.7,30,3,1,1,1.89,-1.38,0.24,1,2.75,4,OTT Bundle
52,2,45.65,147.5,5,2,1,5,2.55,-0.32,-0.71,0,3.375,8,Insurance
53,6,90.09,117.7,10,2,3,4,4.43,0.26,-0.77,0,2.4285714285714284,14,Data Pack
54,54,58.06,82.7,11,3,2,1,3.96,-0.65,0.96,0,3.25,12,Roaming
55,4,47.49,146.5,65,2,1,4,1.62,-1.01,-1.0,1,3.375,8,Roaming
56,54,59.26,150.0,52,2,0,0,3.43,-0.21,0.62,1,1.5,4,Data Pack
57,63,69.67,104.8,35,4,1,5,3.51,-1.06,0.29,1,2.933333333333333,15,Roaming
58,18,60.93,126.2,16,3,1,4,1.36,0.64,0.18,0,2.4,10,OTT Bundle
59,44,56.3,143.4,27,2,2,4,2.86,-1.94,-1.57,1,2.0,4,Data Pack
60,34,48.3,139.2,21,4,1,0,2.04,0.09,-0.36,0,1.6666666666666667,6,OTT Bundle
61,62,48.08,121.8,6,2,2,1,2.87,0.52,-1.46,0,2.8181818181818183,11,OTT Bundle
62,14,49.24,184.5,14,0,1,4,4.11,-0.09,-0.59,0,3.25,8,Data Pack
63,48,66.1,146.2,10,1,1,5,1.63,1.09,0.92,0,2.375,8,Voice Plan
64,15,42.1,99.7,23,3,0,1,1.49,-1.37,1.23,0,3.3333333333333335,3,Insurance
65,62,67.08,100.0,66,3,2,1,2.08,-0.7,0.21,1,4.6,5,OTT Bundle
66,40,85.43,94.9,29,3,1,3,4.81,-0.33,-0.57,0,3.75,8,Roaming
67,53,65.86,148.4,69,2,2,5,3.99,0.71,1.59,1,2.6,10,Data Pack
68,24,53.35,92.0,65,4,1,5,1.08,0.22,-0.58,1,3.125,8,Insurance
69,26,36.63,100.9,60,2,0,0,2.6,2.14,-1.14,1,3.272727272727273,11,Insurance
70,60,88.41,167.6,40,2,3,0,2.03,-0.81,0.7,1,3.125,8,Data Pack
71,41,38.94,128.6,50,2,2,2,3.55,-1.39,0.46,1,3.076923076923077,13,Data Pack
72,29,75.27,173.9,43,4,1,5,2.84,1.79,-0.54,1,3.0,2,Insurance
73,15,71.49,155.9,12,4,0,1,4.86,-1.43,0.1,0,2.625,8,Data Pack
74,45,55.74,67.0,11,1,1,2,1.88,0.68,0.44,0,3.2857142857142856,7,Roaming
75,65,55.27,115.4,8,0,0,5,3.35,-0.98,0.2,0,2.6,5,Insurance
76,71,26.96,164.5,47,2,0,0,3.8,-2.07,0.46,1,4.5,4,Data Pack
77,9,65.94,65.0,48,2,1,0,4.3,-0.37,-0.51,1,3.2857142857142856,7,Data Pack
78,1,71.16,138.9,52,2,1,5,2.63,0.9,0.53,1,3.3333333333333335,6,Voice Plan
79,8,40.4,118.2,55,3,0,2,3.75,-1.22,0.02,1,2.0,3,Insurance
80,63,57.2,41.0,39,4,2,0,2.21,0.58,-0.47,1,2.857142857142857,7,Data Pack
81,11,60.68,125.4,23,2,0,0,2.74,0.76,-0.25,0,3.4444444444444446,9,Roaming
82,8,70.52,82.3,32,3,0,3,4.58,-1.27,-0.1,1,3.090909090909091,11,OTT Bundle
83,35,60.07,67.5,22,4,2,4,4.8,-0.23,-1.45,0,3.4545454545454546,11,Data Pack
84,35,30.73,120.4,53,0,0,5,3.88,1.58,-0.64,1,2.9285714285714284,14,Insurance
85,33,50.46,33.1,52,3,2,3,2.5,0.65,0.06,1,3.1666666666666665,6,Insurance
86,5,64.04,89.7,48,1,3,4,4.28,-0.26,-1.35,1,3.1,10,Insurance
87,41,75.15,234.8,48,2,1,5,1.1,0.42,-0.62,1,2.625,8,Data Pack
88,28,48.88,149.3,59,2,3,3,1.41,-0.69,2.38,1,2.6470588235294117,17,Roaming
89,7,99.38,80.3,64,3,1,3,3.65,1.11,-1.13,1,2.8333333333333335,6,Data Pack
90,12,25.9,183.2,31,2,0,5,2.16,1.11,-0.38,0,2.6,5,OTT Bundle
91,34,49.85,75.4,20,1,0,1,4.81,0.12,-0.83,0,3.6,5,OTT Bundle
92,33,58.51,95.1,17,2,0,2,2.74,0.23,-0.12,0,3.5,12,Insurance
93,48,56.39,68.3,59,2,1,5,2.72,-1.0,-0.81,1,2.8,5,Data Pack
94,23,37.82,131.5,12,0,3,3,3.71,-1.35,-0.24,0,2.6666666666666665,9,Voice Plan
95,62,68.06,181.6,23,1,1,1,4.07,-0.38,-0.72,0,3.4444444444444446,9,Insurance
96,37,66.68,75.0,29,3,1,3,2.9,-0.09,1.06,0,3.111111111111111,9,Insurance
97,44,60.86,27.3,1,1,3,2,1.86,1.06,0.08,0,3.2,5,Voice Plan
98,35,65.97,169.1,24,1,1,1,4.09,0.92,-1.0,0,3.111111111111111,9,Voice Plan
99,65,52.37,189.9,49,1,1,5,2.28,0.18,0.84,1,2.6666666666666665,15,Data Pack
100,47,30.89,30.2,13,2,0,4,1.7,1.19,-0.96,0,3.857142857142857,7,OTT Bundle
101,3,47.1,140.7,5,2,3,2,3.53,-0.94,-1.56,0,3.272727272727273,11,Data Pack
102,1,62.83,130.2,29,2,3,0,1.36,1.08,-0.0,0,2.111111111111111,9,Data Pack
103,5,62.93,84.6,29,2,3,5,4.89,-0.79,1.91,0,2.1666666666666665,6,Data Pack
104,14,60.74,57.3,37,3,0,5,3.53,1.24,-1.83,1,2.0,5,Data Pack
105,27,69.88,164.6,57,1,3,5,4.94,-0.01,-1.33,1,1.8,5,Roaming
106,9,49.54,128.1,40,2,0,1,2.36,-2.0,0.75,1,2.6666666666666665,6,OTT Bundle
107,15,60.48,131.4,56,0,0,0,4.88,0.73,-0.64,1,2.888888888888889,9,Roaming
108,42,70.3,92.0,35,2,1,1,1.58,0.81,0.61,0,3.7777777777777777,9,Roaming
109,51,58.47,83.9,63,5,0,4,1.16,-0.46,-0.84,1,2.9,10,OTT Bundle
110,63,37.62,10.0,15,1,1,1,1.13,-0.37,0.14,0,2.909090909090909,11,Voice Plan
111,52,42.69,109.7,13,0,0,5,2.86,-0.16,1.74,0,3.0,8,Data Pack
112,4,74.96,184.7,30,1,0,3,1.33,-1.93,-1.19,1,3.3333333333333335,9,Data Pack
113,23,85.06,79.9,65,1,1,0,3.05,-2.36,1.02,1,2.8,10,Data Pack
114,15,81.16,51.5,67,2,0,0,2.31,1.3,0.68,1,2.6666666666666665,9,Insurance
115,43,64.18,139.6,64,5,0,1,2.34,-0.82,-1.49,1,3.2222222222222223,9,OTT Bundle
116,29,38.34,147.9,54,4,1,3,3.54,1.86,0.56,1,2.2222222222222223,9,Insurance
117,36,59.89,93.6,39,2,0,3,1.65,1.37,0.07,0,3.7777777777777777,9,Voice Plan
118,13,88.12,104.3,24,2,0,1,4.07,1.57,0.09,0,3.3636363636363638,11,Data Pack
119,32,71.13,131.9,24,2,2,2,3.33,-0.65,0.34,0,2.6666666666666665,9,OTT Bundle
120,71,56.27,113.0,2,5,0,4,4.66,-1.61,-0.35,0,3.1,10,Data Pack
121,59,71.32,165.0,68,0,1,1,2.46,-1.09,0.07,1,3.3636363636363638,11,Insurance
122,28,37.15,229.7,25,4,1,5,4.93,-0.45,0.24,0,3.3333333333333335,9,Insurance
123,66,47.48,43.1,39,4,1,3,3.3,-2.37,0.75,1,1.8181818181818181,11,Data Pack
124,42,40.48,175.3,37,2,2,4,4.89,-0.48,-1.53,1,3.0,7,Roaming
125,45,68.45,124.7,37,1,1,1,1.11,-0.2,1.29,0,2.5,6,Insurance
126,62,72.85,182.5,67,1,0,4,3.91,-1.29,-1.16,1,3.5,8,Roaming
127,57,57.23,152.6,6,1,0,2,4.27,-1.04,0.76,0,3.375,8,Data Pack
128,6,44.29,122.8,29,1,0,3,1.21,-0.22,0.08,0,2.75,4,OTT Bundle
129,28,59.64,154.2,18,1,0,2,3.32,0.36,-1.28,0,3.25,4,Insurance
130,28,51.24,102.3,34,3,0,2,4.21,-0.89,0.53,1,2.8333333333333335,6,Insurance
131,44,45.67,85.2,32,3,2,3,3.24,0.29,-0.95,1,2.7857142857142856,14,OTT Bundle
132,30,66.1,156.5,32,2,0,5,1.26,0.14,1.07,0,2.5,12,Insurance
133,62,46.36,82.0,37,4,1,2,3.77,0.05,-0.71,1,3.142857142857143,7,Roaming
134,62,31.81,148.9,9,3,0,1,1.24,-0.65,-1.49,0,2.6153846153846154,13,Insurance
135,1,35.81,121.4,56,2,2,1,4.27,-1.33,1.53,1,3.0,8,Voice Plan
136,27,31.14,15.2,27,1,2,4,1.17,1.7,0.18,0,3.3333333333333335,9,Voice Plan
137,62,64.46,94.2,37,4,0,1,1.55,0.63,0.87,0,3.6,5,Insurance
138,3,62.71,135.1,15,1,1,1,2.1,1.01,-0.85,0,2.727272727272727,11,Voice Plan
139,70,61.81,101.7,20,4,1,4,3.53,-0.08,-1.89,0,2.8333333333333335,6,Insurance
140,27,70.58,10.0,5,0,1,0,4.91,-0.16,1.68,0,2.25,4,Data Pack
141,9,81.46,179.4,40,2,2,3,1.47,0.49,-0.01,1,3.6923076923076925,13,Data Pack
142,62,49.34,127.6,14,2,3,1,1.57,-1.83,0.49,0,3.4,10,Data Pack
143,37,67.32,140.0,2,2,1,4,2.48,-1.11,0.66,0,3.4444444444444446,9,Insurance
144,51,31.57,98.7,42,3,1,2,4.34,-0.8,-0.34,1,3.142857142857143,7,Insurance
145,44,84.82,143.9,46,4,0,2,2.87,-0.45,0.23,1,3.2,10,OTT Bundle
146,24,37.59,202.6,13,3,0,5,2.29,-0.88,1.59,0,3.857142857142857,7,Voice Plan
147,59,47.22,86.9,65,4,1,1,3.24,0.33,-0.03,1,3.625,8,OTT Bundle
148,32,49.24,195.0,28,0,0,3,2.04,0.08,0.94,0,3.4,5,OTT Bundle
149,52,32.53,137.9,3,4,0,4,2.6,1.39,-1.99,0,2.8,10,Insurance
150,62,60.59,80.9,25,3,1,5,2.33,2.47,1.12,0,2.0,5,OTT Bundle
151,58,63.85,219.6,11,5,2,5,4.22,-1.26,-1.52,0,3.4,10,Data Pack
152,52,56.59,137.6,1,2,0,4,4.7,0.15,1.01,0,2.5,12,Insurance
153,12,32.28,150.4,16,3,2,4,4.04,0.15,0.39,0,3.5,6,Insurance
154,39,95.7,107.9,34,5,1,4,2.76,-0.01,-0.1,1,3.0,10,OTT Bundle
155,2,69.89,84.2,9,2,2,4,3.02,-1.08,-0.1,0,4.25,8,Data Pack
156,3,107.42,127.6,42,0,0,3,1.5,-0.92,-0.25,1,3.3333333333333335,12,Roaming
157,56,45.51,191.2,20,3,1,4,3.99,0.24,-0.82,0,2.4285714285714284,7,OTT Bundle
158,59,77.24,106.1,14,1,1,3,3.39,-0.95,-0.21,0,2.625,8,OTT Bundle
159,2,74.03,118.8,34,3,1,3,4.61,0.16,2.21,0,2.2222222222222223,9,Roaming
160,2,54.77,185.5,59,1,0,3,1.8,-0.25,1.3,1,3.142857142857143,7,OTT Bundle
161,54,85.4,106.5,43,2,2,2,4.04,0.14,-0.87,1,2.5384615384615383,13,Data Pack
162,1,52.7,143.0,4,2,0,0,3.74,-0.95,0.27,0,3.3636363636363638,11,OTT Bundle
163,19,53.5,159.5,17,1,0,5,2.06,0.16,0.1,0,3.4,10,Voice Plan
164,2,20.0,111.1,20,2,2,1,3.67,-0.88,-0.14,0,3.4444444444444446,9,Roaming
165,53,67.36,133.9,50,3,2,2,4.7,0.16,-1.0,1,1.8571428571428572,7,OTT Bundle
166,44,36.14,149.7,40,1,1,0,4.67,1.34,0.45,0,2.888888888888889,9,Roaming
167,32,50.09,102.0,23,5,0,5,3.88,0.26,0.85,0,3.3333333333333335,9,Insurance
168,70,41.53,156.7,23,0,2,2,1.19,0.32,-0.83,0,2.6,10,Data Pack
169,32,53.41,95.4,37,1,0,5,4.49,0.82,1.96,0,2.5714285714285716,7,Voice Plan
170,68,67.99,89.6,43,1,0,3,3.63,-1.4,1.52,1,3.090909090909091,11,Data Pack
171,55,60.2,51.3,56,3,1,3,2.24,1.72,0.55,1,3.3636363636363638,11,Data Pack
172,56,72.77,97.3,58,1,2,4,1.75,-1.06,-1.23,1,3.1818181818181817,11,OTT Bundle
173,17,82.78,83.3,33,0,1,3,1.46,0.88,0.4,0,3.4444444444444446,9,Voice Plan
174,38,53.36,102.0,22,2,2,2,1.2,0.75,0.28,0,2.7777777777777777,9,Insurance
175,24,51.39,147.5,42,1,2,5,4.02,-0.9,0.51,1,3.4285714285714284,7,Data Pack
176,69,77.24,42.3,39,0,1,1,1.94,1.01,1.59,0,3.5,10,Insurance
177,70,78.67,31.1,46,2,2,5,1.1,0.5,-0.18,1,2.0,4,OTT Bundle
178,11,73.33,86.3,40,3,1,3,2.59,1.89,2.05,0,3.625,8,Insurance
179,16,42.86,140.8,46,2,0,5,2.93,0.19,0.41,1,3.4545454545454546,11,Data Pack
180,59,67.61,133.0,19,2,1,0,1.68,-0.11,-0.29,0,3.0,11,Voice Plan
181,70,61.97,85.6,64,3,2,5,1.18,-0.51,2.4,1,3.7142857142857144,7,OTT Bundle
182,3,78.95,172.6,67,1,2,2,1.76,-1.74,0.83,1,3.142857142857143,7,Data Pack
183,20,49.69,90.4,23,1,3,0,3.72,-0.32,-0.45,0,3.411764705882353,17,Insurance
184,59,30.0,140.8,35,5,3,4,1.33,-0.28,0.08,1,3.6666666666666665,15,Voice Plan
185,36,72.42,103.7,44,5,1,4,3.22,0.26,0.64,1,3.7142857142857144,7,Data Pack
186,19,20.0,80.9,1,1,0,5,1.59,-1.42,-0.15,0,3.4285714285714284,7,Insurance
187,67,46.83,92.8,27,5,3,1,1.78,-0.24,0.13,0,3.0,9,Data Pack
188,19,41.58,153.0,25,2,1,2,2.57,0.58,-0.82,0,2.5,6,Data Pack
189,20,41.46,136.2,22,1,3,1,1.4,0.68,-1.69,0,2.857142857142857,7,OTT Bundle
190,71,46.52,163.6,35,1,2,0,1.69,-1.86,0.11,1,3.75,4,Data Pack
191,52,81.91,136.2,5,3,0,1,2.4,0.71,0.14,0,2.857142857142857,7,Insurance
192,33,74.77,47.5,34,5,0,0,2.32,-0.25,0.53,1,3.7142857142857144,7,OTT Bundle
193,40,55.47,215.1,37,1,3,1,4.0,-0.19,-0.58,1,3.8333333333333335,6,OTT Bundle
194,39,80.41,136.9,34,2,2,4,1.3,-2.36,-1.34,1,3.2222222222222223,9,Roaming
195,1,40.88,143.2,52,0,1,2,4.44,1.49,-0.97,1,3.6666666666666665,6,OTT Bundle
196,11,38.43,103.0,37,4,0,1,4.26,0.18,1.06,0,2.8333333333333335,6,Data Pack
197,57,75.54,170.1,58,1,1,5,4.06,-1.53,-0.67,1,2.6666666666666665,3,Voice Plan
198,50,70.43,70.8,42,0,1,0,2.24,0.38,-0.44,1,3.142857142857143,7,Data Pack
199,23,51.72,147.4,3,1,1,5,4.29,0.34,-0.31,0,2.923076923076923,13,OTT Bundle
200,31,39.56,26.4,4,4,1,2,1.73,1.22,-0.62,0,3.5,8,Voice Plan
201,42,86.28,150.5,67,3,1,5,1.5,-0.31,-0.69,1,2.142857142857143,7,Roaming
202,7,29.04,71.4,44,3,2,4,1.18,0.01,-0.87,1,3.4,5,OTT Bundle
203,16,49.23,132.5,24,1,1,4,4.76,-0.64,1.4,0,2.625,8,Insurance
204,60,64.11,181.1,10,1,1,3,2.23,0.6,0.68,0,3.2222222222222223,9,Insurance
205,2,92.44,157.0,28,3,0,2,4.67,-0.78,1.25,0,2.8,5,Roaming
206,1,66.9,175.1,33,3,0,1,2.09,-0.89,1.45,0,2.727272727272727,11,Insurance
207,48,68.65,170.4,13,2,0,4,4.63,-0.07,-2.35,0,2.8666666666666667,15,Roaming
208,12,49.75,96.4,23,2,2,1,4.62,-1.23,0.34,0,3.4615384615384617,13,Roaming
209,69,70.23,146.9,58,3,0,1,4.69,1.6,-0.59,1,3.0,10,Insurance
210,37,61.9,42.4,38,4,1,0,2.98,1.93,1.12,0,2.909090909090909,11,OTT Bundle
211,32,31.41,89.1,25,3,1,5,4.46,-0.45,-0.74,0,2.7777777777777777,9,Voice Plan
212,9,74.27,182.7,42,2,0,1,4.8,-1.39,-1.05,1,3.0833333333333335,12,OTT Bundle
213,19,77.47,102.7,35,3,2,3,2.3,0.34,-1.43,1,3.0,6,Data Pack
214,48,74.46,35.9,38,1,0,2,2.68,-0.48,-0.3,1,3.5384615384615383,13,Voice Plan
215,3,60.6,210.6,60,3,1,2,3.88,1.17,0.91,1,3.125,8,Data Pack
216,20,42.79,145.3,15,2,1,0,2.2,-0.79,0.26,0,3.142857142857143,7,Roaming
217,24,20.0,154.4,58,2,1,3,4.02,0.54,-1.2,1,2.7142857142857144,14,Roaming
218,54,62.83,75.9,5,2,0,5,1.3,0.11,2.15,0,2.0,8,OTT Bundle
219,33,79.47,132.8,55,2,1,3,3.09,-0.68,0.65,1,3.1666666666666665,6,Data Pack
220,24,77.92,131.6,7,6,1,2,1.49,0.24,0.78,0,2.9,10,Insurance
221,36,74.69,83.0,26,1,1,3,2.17,0.88,1.29,0,2.5,10,Roaming
222,38,58.66,112.4,26,1,0,5,2.03,0.09,-1.64,0,2.9,10,Voice Plan
223,25,79.57,52.5,45,5,2,4,4.36,0.1,-0.91,1,3.0,8,Data Pack
224,18,76.63,104.4,40,3,1,1,1.77,-0.87,0.82,1,3.272727272727273,11,Voice Plan
225,66,52.39,163.8,24,5,1,1,4.23,1.14,-0.81,0,3.3529411764705883,17,OTT Bundle
226,54,72.18,86.4,17,2,1,2,4.18,1.04,-0.28,0,2.8,10,Data Pack
227,35,50.35,205.8,11,2,1,2,3.0,-0.41,-0.08,0,1.6666666666666667,6,Insurance
228,61,69.72,55.4,50,1,2,5,1.94,-0.12,-1.28,1,3.1875,16,Data Pack
229,41,36.62,108.3,38,2,0,3,1.91,1.41,-0.36,0,2.0,7,Data Pack
230,33,38.0,90.5,9,2,1,5,2.86,-1.13,0.91,0,2.6153846153846154,13,Data Pack
231,68,79.05,111.9,53,2,1,0,1.04,0.6,0.73,1,3.4285714285714284,7,Insurance
232,33,76.88,181.7,28,3,0,2,3.13,-0.56,1.11,0,2.4444444444444446,9,Roaming
233,14,71.41,75.7,40,2,1,2,4.81,1.78,1.01,0,2.25,8,Roaming
234,21,61.58,99.7,8,0,0,2,1.62,0.06,0.41,0,3.3333333333333335,12,Data Pack
235,48,20.0,149.5,62,1,0,5,3.29,1.26,0.33,1,2.7,10,Data Pack
236,20,58.65,124.2,36,2,0,5,4.85,-0.76,0.25,1,3.3,10,Data Pack
237,8,68.18,127.9,13,7,0,3,4.44,-1.25,-0.63,0,3.2,10,Insurance
238,7,50.37,76.6,38,1,3,4,4.4,-0.23,-1.03,1,2.8333333333333335,12,Data Pack
239,67,47.18,116.8,39,3,0,2,4.29,0.26,-0.69,1,2.6,10,OTT Bundle
240,17,86.0,170.9,53,2,1,4,2.24,-0.51,-0.33,1,3.5555555555555554,9,Data Pack
241,33,58.91,47.6,2,1,3,5,4.56,0.76,-0.66,0,2.3333333333333335,6,OTT Bundle
242,48,68.19,88.6,54,3,0,3,4.77,-0.21,0.41,1,2.6363636363636362,11,Insurance
243,59,73.93,38.3,32,3,2,5,2.98,-2.08,0.2,1,4.125,8,Data Pack
244,22,41.97,144.2,18,3,1,0,2.42,0.55,0.31,0,3.0,7,Data Pack
245,30,63.48,175.1,33,1,2,1,2.66,-0.88,0.35,1,2.8333333333333335,12,Insurance
246,38,83.75,111.7,49,4,0,1,2.34,-0.36,1.2,1,3.272727272727273,11,Insurance
247,51,92.75,74.8,46,4,0,5,1.85,1.55,-0.01,1,2.6666666666666665,9,OTT Bundle
248,54,60.72,76.1,45,2,0,1,3.47,1.77,1.01,0,3.375,8,Roaming
249,8,55.72,106.6,55,1,0,1,3.25,-0.58,0.52,1,3.3333333333333335,9,Insurance
250,27,64.84,106.5,56,3,0,3,2.85,0.58,1.13,1,2.2,5,OTT Bundle
251,27,64.39,161.0,50,1,0,1,1.38,-0.55,1.61,1,3.2857142857142856,7,Insurance
252,21,84.96,89.9,53,1,2,3,4.19,-0.29,0.58,1,2.875,8,Voice Plan
253,30,42.06,139.6,27,2,0,0,1.7,-0.61,0.1,0,4.0,7,Data Pack
254,28,54.96,106.3,18,2,0,2,1.46,-1.72,0.1,0,2.0,3,Data Pack
255,64,39.89,86.5,26,2,3,2,3.49,0.1,-0.47,0,3.4285714285714284,7,Data Pack
256,69,41.78,105.1,47,1,2,2,2.59,0.29,-0.5,1,2.7,10,OTT Bundle
257,61,66.78,135.1,18,1,1,3,1.24,-0.67,0.9,0,2.2,10,Data Pack
258,48,74.58,161.2,50,1,2,3,2.42,1.09,-0.96,1,3.230769230769231,13,Insurance
259,19,48.31,108.7,6,5,0,3,4.09,-0.44,1.61,0,3.0,9,Data Pack
260,4,73.9,65.8,28,3,1,0,3.46,-0.64,-0.15,0,3.6,5,OTT Bundle
261,35,80.01,165.0,42,2,2,4,2.45,0.53,2.86,0,2.111111111111111,9,Voice Plan
262,64,94.82,79.6,68,2,3,3,1.77,-1.54,-0.69,1,3.2,5,Insurance
263,49,61.26,131.7,57,1,1,3,3.53,0.91,0.25,1,3.75,8,Data Pack
264,17,48.48,118.9,7,0,0,2,4.55,-0.4,-0.35,0,2.7,10,Insurance
265,44,41.96,112.9,41,4,0,5,3.59,0.99,-0.79,1,3.5555555555555554,9,Data Pack
266,30,40.17,98.1,41,1,0,1,4.25,1.29,1.06,0,2.375,8,Data Pack
267,46,82.5,147.9,12,2,0,1,3.09,0.64,-1.11,0,3.142857142857143,14,OTT Bundle
268,6,32.73,10.0,25,3,2,0,3.87,-0.81,-0.68,0,2.5,4,Roaming
269,37,81.92,171.1,17,1,2,1,4.58,-1.25,0.59,0,3.0,8,Roaming
270,24,44.37,78.9,41,1,2,4,4.09,-1.43,0.74,1,3.1666666666666665,6,Data Pack
271,46,47.67,138.4,50,0,1,2,4.64,1.1,-1.39,1,3.0,5,Voice Plan
272,53,57.27,136.0,15,2,1,0,2.72,-0.13,0.58,0,3.5,10,Voice Plan
273,60,47.33,177.4,2,1,1,1,4.62,-0.6,0.13,0,2.625,8,Voice Plan
274,63,76.78,128.9,44,2,1,1,3.49,-0.13,-0.92,1,3.7142857142857144,7,Data Pack
275,32,92.64,82.7,21,4,2,5,4.48,1.08,-0.79,0,2.4,5,Insurance
276,33,48.17,47.8,22,3,1,2,1.16,0.78,-2.03,0,4.0,7,Roaming
277,67,52.22,104.3,58,1,0,0,3.63,0.44,1.72,1,3.111111111111111,9,Data Pack
278,18,57.06,31.9,61,3,0,2,4.39,0.64,1.02,1,2.9285714285714284,14,Insurance
